city,lat,lng,country,iso2,admin_name,capital,population,population_proper,district
Boltumbe,6.6888,80.6404,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bolyadda,7.0677,81.0503,Sri Lanka,LK,Uva,,,,Badulla
Bombiwela,7.6252,79.8678,Sri Lanka,LK,North Western,,,,Puttalam
Bombugammanagedara,7.4138,80.0872,Sri Lanka,LK,North Western,,,,Kurunegala
Bombure,7.28333,80.81667,Sri Lanka,LK,Central,,,,Kandy
Bombuwa,6.6348,80.6715,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bombuwala,6.5721,80.0096,Sri Lanka,LK,Western,,,,Kalutara
Bomuwewawatukanda,6.2531,80.6654,Sri Lanka,LK,Southern,,,,Hambantota
Bona Vista,6.01667,80.23333,Sri Lanka,LK,Southern,,,,
Bonavista Place,6.9571,80.7688,Sri Lanka,LK,Central,,,,Nuwara Eliya
Bondadeniya,7.0498,80.5171,Sri Lanka,LK,Central,,,,Kandy
Bondupitiya,6.4286,80.0406,Sri Lanka,LK,Western,,,,Kalutara
Bongama,8.0323,80.3927,Sri Lanka,LK,North Western,,,,Kurunegala
Boossa,6.0733,80.1577,Sri Lanka,LK,Southern,,,,
Bootawa,7.1068,80.9313,Sri Lanka,LK,Central,,,,Nuwara Eliya
Boowelikada,7.1466,80.4792,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Bopagoda,6.1564,80.4872,Sri Lanka,LK,Southern,,,,Matara
Bopagoda,6.0944,80.138,Sri Lanka,LK,Southern,,,,Galle
Bopana,7.3,80.9,Sri Lanka,LK,Central,,,,Kandy
Bopaththalawa,6.8505,80.7137,Sri Lanka,LK,Central,,,,Nuwara Eliya
Bope,6.05,80.2,Sri Lanka,LK,Southern,,,,Galle
Bopegama,7.3633,80.6357,Sri Lanka,LK,Central,,,,Kandy
Bopetta,7.0564,80.2436,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Bopetta,6.8832,80.2522,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bopetta,6.6838,80.4584,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bopitigama,8.18333,80.23333,Sri Lanka,LK,North Central,,,,Anuradhapura
Bopitigoda,6.5863,80.7089,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bopitiya,7.3191,80.0824,Sri Lanka,LK,North Western,,,,Kurunegala
Bopitiya,7.1786,80.7139,Sri Lanka,LK,Central,,,,Kandy
Bopitiya,7.1641,80.4861,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Bopitiya,7.1677,80.1948,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Bopitiya,7.0677,80.993,Sri Lanka,LK,Uva,,,,Badulla
Bopitiya,6.5066,80.0873,Sri Lanka,LK,Western,,,,Kalutara
Bopitiya,6.4524,80.5044,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bopitiya,6.1208,80.4195,Sri Lanka,LK,Southern,,,,Matara
Bopitiya,6.3715,80.1947,Sri Lanka,LK,Western,,,,Kalutara
Bopitiya,7.1923,80.741,Sri Lanka,LK,Central,,,,Kandy
Bopitiya Ihala,6.6126,80.5345,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bopitiyagama,7.9,80.5,Sri Lanka,LK,North Central,,,,Anuradhapura
Boradiya Ella,6.2401,80.5316,Sri Lanka,LK,Southern,,,,Matara
Boragahamada,7.0085,81.1113,Sri Lanka,LK,Uva,,,,Badulla
Boragahamaditta,7.18333,80.78333,Sri Lanka,LK,Central,,,,Nuwara Eliya
Boragasketiya,6.90764,80.83903,Sri Lanka,LK,Uva,,,,Badulla
